COD_CLIENTE,ATIVO
CLIENTE1,TRUE
CLIENTE2,TRUE
CLIENTE3,TRUE
CLIENTE4,TRUE
CLIENTE5,TRUE
CLIENTE6,TRUE
CLIENTE7,TRUE
CLIENTE8,TRUE
CLIENTE9,TRUE
CLIENTE10,TRUE
CLIENTE11,TRUE
CLIENTE12,TRUE
CLIENTE13,TRUE
CLIENTE14,TRUE
CLIENTE15,TRUE
CLIENTE16,TRUE
CLIENTE17,TRUE
CLIENTE18,TRUE
CLIENTE19,TRUE
CLIENTE20,TRUE
CLIENTE21,TRUE
CLIENTE22,TRUE
CLIENTE23,TRUE
CLIENTE24,TRUE
CLIENTE25,TRUE
CLIENTE26,TRUE
CLIENTE27,TRUE
CLIENTE28,TRUE
CLIENTE29,TRUE
CLIENTE30,TRUE
CLIENTE31,TRUE
CLIENTE32,TRUE
CLIENTE33,TRUE
CLIENTE34,TRUE
CLIENTE35,TRUE
CLIENTE36,TRUE
CLIENTE37,TRUE
CLIENTE38,TRUE
CLIENTE39,TRUE
CLIENTE40,TRUE
CLIENTE41,TRUE
CLIENTE42,TRUE
CLIENTE43,TRUE
CLIENTE44,TRUE
CLIENTE45,TRUE
CLIENTE46,TRUE
CLIENTE47,TRUE
CLIENTE48,TRUE
CLIENTE49,TRUE
CLIENTE50,TRUE
CLIENTE51,TRUE
CLIENTE52,TRUE
CLIENTE53,TRUE
CLIENTE54,TRUE
CLIENTE55,TRUE
CLIENTE56,TRUE
CLIENTE57,TRUE
CLIENTE58,TRUE
CLIENTE59,TRUE
CLIENTE60,TRUE
CLIENTE61,TRUE
CLIENTE62,TRUE
CLIENTE63,TRUE
CLIENTE64,TRUE
CLIENTE65,TRUE
CLIENTE66,TRUE
CLIENTE67,TRUE
CLIENTE68,TRUE
CLIENTE69,TRUE
CLIENTE70,TRUE
CLIENTE71,TRUE
CLIENTE72,TRUE
CLIENTE73,TRUE
CLIENTE74,TRUE
CLIENTE75,TRUE
CLIENTE76,TRUE
CLIENTE77,TRUE
CLIENTE78,TRUE
CLIENTE79,TRUE
CLIENTE80,TRUE
CLIENTE81,TRUE
CLIENTE82,TRUE
CLIENTE83,TRUE
CLIENTE84,TRUE
CLIENTE85,TRUE
CLIENTE86,TRUE
CLIENTE87,TRUE
CLIENTE88,TRUE
CLIENTE89,TRUE
CLIENTE90,TRUE
CLIENTE91,TRUE
CLIENTE92,TRUE
CLIENTE93,TRUE
CLIENTE94,TRUE
CLIENTE95,TRUE
CLIENTE96,TRUE
CLIENTE97,TRUE
CLIENTE98,TRUE
CLIENTE99,TRUE
CLIENTE100,TRUE
CLIENTE101,TRUE
CLIENTE102,TRUE
CLIENTE103,TRUE
CLIENTE104,TRUE
CLIENTE105,TRUE
CLIENTE106,TRUE
CLIENTE107,TRUE
CLIENTE108,TRUE
CLIENTE109,TRUE
CLIENTE110,TRUE
CLIENTE111,TRUE
CLIENTE112,TRUE
CLIENTE113,TRUE
CLIENTE114,TRUE
CLIENTE115,TRUE
CLIENTE116,TRUE
CLIENTE117,TRUE
CLIENTE118,TRUE
CLIENTE119,TRUE
