COD_LOCAL,MAX_CARREGAMENTO,MAX_DESCARREGAMENTO,MAX_ESTOQUE,CALADO_DWT,TIPO
Aracruz,186000,0,279000,0,Fabrica
Imperatriz,173120,0,259680,0,Fabrica
Jacarei,86000,0,129000,0,Fabrica
Limeira,34500,0,51750,0,Fabrica
Mucuri,135000,0,202500,0,Fabrica
Ribas,218300,0,327450,0,Fabrica
Suzano,9571,0,14356,0,Fabrica
TresLagoas,232500,0,348750,0,Fabrica
Veracel,385000,0,1155000,0,Fabrica
Eredin,162500,162500,487500,90000,POD
Inoria,218300,211300,644400,180000,POD
Pillarreach,70000,70000,210000,400000,POD
Perseon,1000000,100000,1650000,20000,POD
Sableport,25000,25000,75000,200000,POD
Shadowpeak,23000,450000,709500,325000,POD
Sectorium,1000000,120000,180000,60000,POD
Stormbar,24085,24085,72255,50000,POD
Midgar,1000000,55000,1582500,95000,POD
Hyrule,1000000,25000,1537500,60000,POD
Mythra,1000000,15000,1522500,60000,POD
Skellige,1000000,15000,1522500,45000,POD
Stormhold,1000000,4000,1506000,40000,POD
Brakmar,1000000,15000,1522500,85000,POD
Gerudo,1000000,25000,1537500,30000,POD
Ivalice,1000000,15000,1522500,45000,POD
Sunreach,1000000,15000,1522500,90000,POD
Elzion,1000000,29000,1543500,35000,POD
Azkaban,1000000,68000,1602000,380000,POD
Frosthelm,1000000,2000,1503000,300000,POD
Glenhaven,1000000,1500,1502250,150000,POD
Laputa,1000000,30000,1545000,45000,POD
Limoria,1000000,12500,1518750,65000,POD
Liones,1000000,40000,1560000,80000,POD
Mondstadt,1000000,20000,1530000,25000,POD
Prontera,1000000,30000,1545000,85000,POD
Resembool,1000000,14000,1521000,45000,POD
Nibelheim,1000000,9000,1513500,60000,POD
Northfall,1000000,2000,1503000,325000,POD
Savois,1000000,13000,1519500,30000,POD
Sethera,1000000,20000,1530000,30000,POD
Swindale,1000000,6500,1509750,325000,POD
Tartarus,1000000,27500,1541250,380000,POD
Cairhien,1000000,6500,1509750,400000,POD
Valyria,1000000,20000,1530000,45000,POD
Rocabar,1000000,25000,1537500,45000,POD
Jadehold,1000000,6500,1509750,70000,POD
Koktahl,1000000,0,1500000,200000,POD
Raumor,1000000,20000,1530000,90000,POD
Solhara,1000000,10000,1515000,95000,POD
Aeusserst,1000000,20000,1530000,300000,POD
Drinmoor,1000000,15000,1522500,75000,POD
Casperia,1000000,6000,1509000,150000,POD
Elysor,1000000,6000,1509000,325000,POD
Skyreach,1000000,100000,1650000,200000,POD
Hogwarts,1000000,5000,1507500,60000,POD
Grimvale,1000000,100000,1650000,25000,POD
Kragspire,1000000,100000,1650000,150000,POD
Rlyeh,1000000,170000,1755000,350000,POD
Dragmere,1000000,100000,1650000,85000,POD
Deliora,1000000,100000,1650000,60000,POD
Haldryn,1000000,1000000,3000000,30000,POD
Highspire,1000000,100000,1650000,35000,POD
Hollowmar,1000000,1000000,3000000,75000,POD
Brightfall,1000000,1000000,3000000,60000,POD
Hazoria,1000000,100000,1650000,60000,POD
Ichoris,1000000,100000,1650000,20000,POD
Iyomar,1000000,1000000,3000000,30000,POD
Jindara,1000000,100000,1650000,75000,POD
Askr,1000000,15000,1522500,250000,POD
Klunheim,1000000,100000,1650000,45000,POD
Spira,1000000,20000,1530000,40000,POD
Lathen,1000000,1000000,3000000,55000,POD
Lochbar,1000000,1000000,3000000,95000,POD
Lyngard,1000000,300000,1950000,45000,POD
Manshade,1000000,100000,1650000,350000,POD
Melvara,1000000,100000,1650000,325000,POD
