FAMILIA_PRODUTO,LINHA_PRODUTO,ATIVO
OpacoManso,V1,TRUE
InferiorRaso,V1,TRUE
MuitoBomPleno,V1,TRUE
ExcelenteSupremo,V1,TRUE
MuitoClaroLuminoso,V1,TRUE
AtivoVigoroso,V1,TRUE
AlternativoAlpha,V1,TRUE
AlternativoBeta,V1,TRUE
ArtificialZero,V1,TRUE
EscuroSereno,V1,TRUE
MuitoEscuroDenso,V1,TRUE
PraticoLeve,V1,TRUE
SuaveTerno,V1,TRUE
VolumosoRobusto,V2,TRUE
VolumosoNobre,V2,TRUE
InferiorRaso,V2,TRUE
ResistenteFirme,V2,TRUE
MuitoBomPleno,V2,TRUE
ExcelenteSupremo,V2,TRUE
MuitoClaroLuminoso,V2,TRUE
PorosoAberto,V2,TRUE
ArtificialTres,V2,TRUE
RefeitoSimples,V4,TRUE
InferiorRaso,V3,TRUE
VolumosoAmplo,V3,TRUE
PuroAustero,V3,TRUE
MuitoBomPleno,V3,TRUE
ExcelenteSupremo,V3,TRUE
ArtificialZero,V3,TRUE
LimpoIsento,V3,TRUE
MuitoBomPleno,V5,TRUE
InferiorRaso,V5,TRUE
ResistenteTenaz,V5,TRUE
ArtificialZero,V5,TRUE
SaturadoProfundo,V6,TRUE
AlteradoReverso,V5,TRUE
SuaveTerno,V7,TRUE
SuaveTerno,V8,TRUE
MuitoBomPleno,V7,TRUE
InferiorRaso,V7,TRUE
ExcelenteSupremo,V7,TRUE
ImpuroMarcado,V7,TRUE
PorosoAberto,V7,TRUE
AlteradoRecursivo,V7,TRUE
IncomumSutil,V8,TRUE
MuitoBomPleno,V8,TRUE
InferiorRaso,V8,TRUE
ExcelenteSupremo,V8,TRUE
ImpuroMarcado,V8,TRUE
PorosoAberto,V8,TRUE
AlteradoReverso,V8,TRUE
ResistenteTenaz,V8,TRUE
ArtificialZero,V7,TRUE
ArtificialZero,V8,TRUE
EscuroSereno,V8,TRUE
MuitoBomIntenso,V9,TRUE
InferiorRaso,V9,TRUE
SemiClaroVivo,V9,TRUE
ImpuroVibrante,V9,TRUE
ArtificialZero,V9,TRUE
SemiClaroSaturado,V11,TRUE
RefeitoSimples,V14,TRUE
InferiorRaso,V12,TRUE
DiscretoCalmo,V12,TRUE
MuitoBomPleno,V12,TRUE
ExcelenteSupremo,V12,TRUE
ArtificialZero,V12,TRUE
MuitoBomPleno,V13,TRUE
InferiorRaso,V13,TRUE
ExcelenteSupremo,V13,TRUE
NeutroSuave,V13,TRUE
ArtificialDez,V13,TRUE
VolumosoAmplo,V15,TRUE
InferiorRaso,V15,TRUE
MuitoBomPleno,V15,TRUE
EscuroSereno,V2,TRUE
MuitoEscuroDenso,V8,TRUE
LimpoNobre,V1,TRUE
LimpoSombrio,V1,TRUE
LimpoPrimario,V1,TRUE
LimpoTenaz,V1,TRUE
MuitoBomPleno,V16,TRUE
InferiorRaso,V16,TRUE
SuaveMaximo,V8,TRUE
ExcelenteSupremo,V16,TRUE
InferiorRaso,V11,TRUE
MuitoBomPleno,V17,TRUE
InferiorRaso,V10,TRUE
LimpoObscuro,V1,TRUE
ArtificialUm,V1,TRUE
ExcelenteRadiante,V2,TRUE
MuitoBomCerto,V7,TRUE
MuitoBomCerto,V8,TRUE
MuitoBomCerto,V12,TRUE
MuitoBomCerto,V13,TRUE
ArtificialTres,V13,TRUE
MuitoBomCerto,V16,TRUE
ArtificialZero,V2,TRUE
MuitoBomLimitado,V2,TRUE
ExcelenteRestrito,V2,TRUE
EscuroCauto,V1,TRUE
ArtificialUm,V13,TRUE
EscuroSereno,V16,TRUE
PraticoSeco,V1,TRUE
SuaveTerno,V5,TRUE
ArtificialZero,V13,TRUE
DiscretoFino,V12,TRUE
NaturalClaro,V1,TRUE
ImpuroContido,V8,TRUE
AlternativoGamma,V1,TRUE
ArtificialCinco,V16,TRUE
ArtificialSigma,V13,TRUE
BomCentral,V6,TRUE
EscuroSilencioso,V2,TRUE
MuitoBomCerto,V3,TRUE
ResistenteAgudo,V2,TRUE
ExcelenteDourado,V2,TRUE
MuitoBomBrando,V3,TRUE
ImpuroContido,V7,TRUE
BasicoNeutro,V5,TRUE
SuaveTerno,V16,TRUE
ComumLiso,V10,TRUE
