COD_LOCAL,INSTANTE,VOLUME_PRODUCAO
Aracruz,1,"149163,8241"
Aracruz,2,"145723,1758"
Aracruz,3,"160789,6932"
Aracruz,4,"165261,1305"
Aracruz,5,"163936,7632"
Aracruz,6,"134174,6289"
Aracruz,7,"125557,3526"
Aracruz,8,"117177,2234"
Aracruz,9,"136427,0105"
Aracruz,10,"136005,6934"
Aracruz,11,"136309,5405"
Aracruz,12,"137417,9605"
Aracruz,13,"149163,8241"
Aracruz,14,"145723,1758"
Aracruz,15,"160789,6932"
Imperatriz,1,"142983,581"
Imperatriz,2,"132542,99"
Imperatriz,3,"48378,73"
Imperatriz,4,"141399,39"
Imperatriz,5,"143202,87"
Imperatriz,6,"140898,37"
Imperatriz,7,"145777,39"
Imperatriz,8,"146120,81"
Imperatriz,9,"138762,5"
Imperatriz,10,"145732,11"
Imperatriz,11,"141394,87"
Imperatriz,12,"143453,75"
Imperatriz,13,"142983,581"
Imperatriz,14,"132542,99"
Imperatriz,15,"48378,73"
Jacarei,1,"73862,68345"
Jacarei,2,"68014,28525"
Jacarei,3,"75367,81949"
Jacarei,4,"72808,03341"
Jacarei,5,"36072,66997"
Jacarei,6,"67151,04503"
Jacarei,7,"75437,25449"
Jacarei,8,"75403,72349"
Jacarei,9,"72928,25241"
Jacarei,10,"75349,11449"
Jacarei,11,"72804,82341"
Jacarei,12,"75358,97549"
Jacarei,13,"73862,68345"
Jacarei,14,"68014,28525"
Jacarei,15,"75367,81949"
Limeira,1,"31184,08714"
Limeira,2,"25770,22855"
Limeira,3,"28037,50239"
Limeira,4,"28220,27571"
Limeira,5,"26268,77214"
Limeira,6,"25899,75827"
Limeira,7,"26247,87875"
Limeira,8,"27831,45398"
Limeira,9,"24595,88305"
Limeira,10,"23792,85686"
Limeira,11,"26456,86314"
Limeira,12,"25855,98416"
Limeira,13,"31184,08714"
Limeira,14,"25770,22855"
Limeira,15,"28037,50239"
Mucuri,1,"121266,1175"
Mucuri,2,"114794,3806"
Mucuri,3,"134242,5618"
Mucuri,4,"130321,3657"
Mucuri,5,"86183,08854"
Mucuri,6,"130153,6692"
Mucuri,7,"134290,8491"
Mucuri,8,"110252,5239"
Mucuri,9,"129813,812"
Mucuri,10,"134048,9458"
Mucuri,11,"125541,0135"
Mucuri,12,"132282,1731"
Mucuri,13,"121266,1175"
Mucuri,14,"114794,3806"
Mucuri,15,"134242,5618"
Ribas,1,"226131,3275"
Ribas,2,"204961,0022"
Ribas,3,"157606,5832"
Ribas,4,"200979,6045"
Ribas,5,"226867,0771"
Ribas,6,"219254,2848"
Ribas,7,"226930,0456"
Ribas,8,"226890,9261"
Ribas,9,"219566,5723"
Ribas,10,"226827,2156"
Ribas,11,"219422,5718"
Ribas,12,"215702,2494"
Ribas,13,"226131,3275"
Ribas,14,"204961,0022"
Ribas,15,"157606,5832"
Suzano,1,"4710,106293"
Suzano,2,"1634,162727"
Suzano,3,"1610,14321"
Suzano,4,"2547,958034"
Suzano,5,"2189,063074"
Suzano,6,"1684,528987"
Suzano,7,"941,1124618"
Suzano,8,"3219,858408"
Suzano,9,"3028,614036"
Suzano,10,"2732,226242"
Suzano,11,"2999,83814"
Suzano,12,"2187,393774"
Suzano,13,"4710,106293"
Suzano,14,"1634,162727"
Suzano,15,"1610,14321"
TresLagoas,1,"259467,2956"
TresLagoas,2,"251581,5152"
TresLagoas,3,"278464,6061"
TresLagoas,4,"138427,4427"
TresLagoas,5,"251004,511"
TresLagoas,6,"269204,8345"
TresLagoas,7,"278545,6136"
TresLagoas,8,"278506,4941"
TresLagoas,9,"269517,122"
TresLagoas,10,"278442,7836"
TresLagoas,11,"251194,4572"
TresLagoas,12,"278454,2881"
TresLagoas,13,"259467,2956"
TresLagoas,14,"251581,5152"
TresLagoas,15,"278464,6061"
Veracel,1,"39312,5"
Veracel,2,34595
Veracel,3,"48747,5"
Veracel,4,47175
Veracel,5,"48747,5"
Veracel,6,47175
Veracel,7,"48747,5"
Veracel,8,"48747,5"
Veracel,9,47175
Veracel,10,"48747,5"
Veracel,11,"42457,5"
Veracel,12,"48747,5"
Veracel,13,"39312,5"
Veracel,14,34595
Veracel,15,"48747,5"
