COD_CLIENTE,COD_LOCAL,CUSTO_INLAND_POR_TON
CLIENTE619,Dragmere,"0,1156367378"
CLIENTE615,Quasmar,"0,118296561"
CLIENTE542,Quasmar,"0,1348330867"
CLIENTE711,Sunreach,"0,1444576946"
CLIENTE235,Ossandor,"0,1471899567"
CLIENTE252,Sethera,"0,150404212"
CLIENTE69,Osaria,"0,1555613726"
CLIENTE504,Pillarreach,"0,1569030114"
CLIENTE310,Raumor,"0,1655014541"
CLIENTE97,Ykoura,"0,1673985371"
CLIENTE205,Duskwall,"0,1716143764"
CLIENTE293,Piscara,"0,1733852172"
CLIENTE708,Galdrin,"0,1757927012"
CLIENTE339,Ichoris,"0,1767482987"
CLIENTE657,Noctis,"0,1785633133"
CLIENTE410,Muskara,"0,1834694206"
CLIENTE246,Limoria,"0,1853939958"
CLIENTE377,Drinmoor,"0,1857550472"
CLIENTE203,Nurmengard,"0,1873390389"
CLIENTE520,Lathen,"0,1874817864"
CLIENTE239,Tempestia,"0,1900295877"
CLIENTE334,Ishgard,"0,193864287"
CLIENTE451,Salvaris,"0,1951818782"
CLIENTE294,Yjigar,"0,1979587684"
CLIENTE625,Rlyeh,"0,2026929705"
CLIENTE701,Lothlorien,"0,2038618672"
CLIENTE399,Stonegate,"0,2046703998"
CLIENTE175,Zaphura,"0,2065459861"
CLIENTE446,Deeptrench,"0,2067047854"
CLIENTE156,Obsidian,"0,2070185471"
CLIENTE22,Quasmar,"0,2082250938"
CLIENTE277,Manifold,"0,2086364149"
CLIENTE33,Alabasta,"0,2100013475"
CLIENTE605,Salvaris,"0,2112400701"
CLIENTE295,Manshade,"0,2119358272"
CLIENTE359,Kragspire,"0,2134355927"
CLIENTE60,Casperia,"0,2141111973"
CLIENTE273,Tempestia,"0,2141327436"
CLIENTE216,Sunreach,"0,2144401918"
CLIENTE416,Uinhold,"0,2151720197"
CLIENTE367,Nighthaven,"0,2158211119"
CLIENTE420,Duskwall,"0,217206264"
CLIENTE601,Jakura,"0,2176810385"
CLIENTE372,Prontera,"0,2181562929"
CLIENTE392,Stormbar,"0,2187988431"
CLIENTE317,Paldea,"0,2192148595"
CLIENTE31,Solhara,"0,2205167923"
CLIENTE650,Nighthaven,"0,220596647"
CLIENTE673,Nibelheim,"0,2216352909"
CLIENTE640,Amoneth,"0,2253593798"
CLIENTE315,Limoria,"0,2258273691"
CLIENTE147,Dornfall,"0,2262445307"
CLIENTE420,Ichoris,"0,2266186525"
CLIENTE170,Zaphura,"0,2272689145"
CLIENTE361,Ishgard,"0,2288562562"
CLIENTE85,Eredin,"0,230525447"
CLIENTE532,Posthaven,"0,2310073924"
CLIENTE295,Stormbar,"0,2315771211"
CLIENTE559,Nurmengard,"0,232511671"
CLIENTE113,Dragmere,"0,2328953284"
CLIENTE428,Kandor,"0,2340826144"
CLIENTE133,Sethera,"0,2356402881"
CLIENTE434,Brakmar,"0,2356534895"
CLIENTE62,Stonegate,"0,2358865641"
CLIENTE595,Sableport,"0,2362370604"
CLIENTE136,Elysor,"0,2372756631"
CLIENTE199,Elzion,"0,2378513031"
CLIENTE170,Jadehold,"0,2380354945"
CLIENTE241,Posthaven,"0,2382163219"
CLIENTE240,Dornfall,"0,2399862935"
CLIENTE389,Deepwater,"0,2404393246"
CLIENTE502,Kobaris,"0,2404939489"
CLIENTE533,Pausen,"0,2412058457"
CLIENTE158,Ashkora,"0,2419054538"
CLIENTE209,Hazoria,"0,2437134518"
CLIENTE264,Elysor,"0,2448824489"
CLIENTE656,Tutira,"0,2451522627"
CLIENTE640,Resembool,"0,2455049632"
CLIENTE71,Chenara,"0,2455673106"
CLIENTE562,Philgaia,"0,2457306776"
CLIENTE229,Savois,"0,247000219"
CLIENTE666,Nassauia,"0,2473285265"
CLIENTE557,Ranskar,"0,2480103823"
CLIENTE514,Swindale,"0,2493931567"
CLIENTE21,Skyreach,"0,2496090671"
CLIENTE647,Yeygard,"0,2497959635"
CLIENTE138,Ishgard,"0,2514735408"
CLIENTE516,Tomarath,"0,2529050229"
CLIENTE133,Ngorim,"0,2530301079"
CLIENTE263,Targalon,"0,2531119091"
CLIENTE361,Stormhold,"0,2533828503"
CLIENTE396,Fernwall,"0,2535543703"
CLIENTE456,Uinhold,"0,2536664011"
