COD_CLIENTE,FAMILIA_PRODUTO,LINHA_PRODUTO,INSTANTE,PRECO_VENDA,DEMANDA
CLIENTE1,NaturalClaro,V1,1,"608,4788771",32
CLIENTE1,NaturalClaro,V1,2,"608,4788771",120
CLIENTE1,NaturalClaro,V1,3,"608,4788771",120
CLIENTE1,NaturalClaro,V1,4,"608,4788771",120
CLIENTE1,NaturalClaro,V1,5,"608,4788771",120
CLIENTE1,NaturalClaro,V1,6,"608,4788771",120
CLIENTE1,NaturalClaro,V1,7,"608,4788771",120
CLIENTE1,NaturalClaro,V1,8,"608,4788771",120
CLIENTE1,NaturalClaro,V1,9,"608,4788771",120
CLIENTE1,NaturalClaro,V1,10,"608,4788771",120
CLIENTE1,NaturalClaro,V1,11,"608,4788771",120
CLIENTE1,NaturalClaro,V1,12,"608,4788771",120
CLIENTE1,NaturalClaro,V1,13,"608,4788771",32
CLIENTE1,NaturalClaro,V1,14,"608,4788771",120
CLIENTE1,NaturalClaro,V1,15,"608,4788771",120
CLIENTE1,IncomumSutil,V8,1,"608,4788771",768
CLIENTE1,IncomumSutil,V8,2,"608,4788771",713
CLIENTE1,IncomumSutil,V8,3,"608,4788771",713
CLIENTE1,IncomumSutil,V8,4,"608,4788771",713
CLIENTE1,IncomumSutil,V8,5,"608,4788771",713
CLIENTE1,IncomumSutil,V8,6,"608,4788771",713
CLIENTE1,IncomumSutil,V8,7,"608,4788771",713
CLIENTE1,IncomumSutil,V8,8,"608,4788771",713
CLIENTE1,IncomumSutil,V8,9,"608,4788771",713
CLIENTE1,IncomumSutil,V8,10,"608,4788771",713
CLIENTE1,IncomumSutil,V8,11,"608,4788771",713
CLIENTE1,IncomumSutil,V8,12,"608,4788771",713
CLIENTE1,IncomumSutil,V8,13,"608,4788771",768
CLIENTE1,IncomumSutil,V8,14,"608,4788771",713
CLIENTE1,IncomumSutil,V8,15,"608,4788771",713
CLIENTE3,BomCentral,V6,2,"608,4788771",850
CLIENTE3,BomCentral,V6,3,"608,4788771",1000
CLIENTE3,BomCentral,V6,4,"608,4788771",700
CLIENTE3,SaturadoProfundo,V6,1,"608,4788771",650
CLIENTE3,SaturadoProfundo,V6,5,"608,4788771",350
CLIENTE3,SaturadoProfundo,V6,6,"608,4788771",350
CLIENTE3,SaturadoProfundo,V6,13,"608,4788771",650
CLIENTE3,SaturadoProfundo,V6,14,"608,4788771",850
CLIENTE3,SaturadoProfundo,V6,15,"608,4788771",1000
CLIENTE662,InferiorRaso,V13,2,"608,4788771",150
CLIENTE662,InferiorRaso,V13,4,"608,4788771",150
CLIENTE662,InferiorRaso,V13,6,"608,4788771",150
CLIENTE662,InferiorRaso,V13,8,"608,4788771",150
CLIENTE662,InferiorRaso,V13,10,"608,4788771",150
CLIENTE662,InferiorRaso,V13,12,"608,4788771",150
CLIENTE662,InferiorRaso,V13,14,"608,4788771",150
CLIENTE269,InferiorRaso,V5,1,"608,4788771",500
CLIENTE269,InferiorRaso,V5,13,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,1,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,2,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,3,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,4,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,5,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,6,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,7,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,8,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,9,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,10,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,11,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,12,"608,4788771",500
CLIENTE269,MuitoBomPleno,V12,13,"608,4788771",500
