COD_LOCAL,FAMILIA_PRODUTO,LINHA_PRODUTO,QTD_DISPONIVEL
Hyrule,MuitoBomPleno,V16,1294
Hyrule,MuitoBomPleno,V12,9074
Hyrule,MuitoBomPleno,V13,38
Hyrule,MuitoBomPleno,V15,1474
Hyrule,MuitoBomIntenso,V9,"3,2"
Hyrule,EscuroSereno,V2,"5759,29"
Hyrule,AtivoVigoroso,V1,108
Hyrule,ExcelenteSupremo,V2,"1152,091"
Hyrule,ExcelenteSupremo,V3,2284
Hyrule,ExcelenteSupremo,V12,0
Hyrule,DiscretoCalmo,V12,7044
Hyrule,ResistenteFirme,V2,880
Hyrule,PuroAustero,V3,626
Hyrule,ArtificialZero,V12,878
Eredin,MuitoBomPleno,V12,7298
Eredin,MuitoBomPleno,V13,5714
Eredin,ExcelenteSupremo,V13,2
Eredin,DiscretoCalmo,V12,6058
Eredin,ArtificialSigma,V13,2
Skellige,MuitoBomPleno,V16,4
Skellige,MuitoBomPleno,V13,0
Skellige,ArtificialCinco,V16,0
Tarbean,ExcelenteSupremo,V2,22
Tarbean,ExcelenteSupremo,V8,20
Tarbean,LimpoSombrio,V1,0
Imre,MuitoBomPleno,V8,2030
Imre,MuitoBomPleno,V15,16
Imre,MuitoBomIntenso,V9,"1508,8"
Imre,ExcelenteSupremo,V2,698
Imre,LimpoSombrio,V1,"992,15"
Alabasta,NaturalClaro,V1,182
Alabasta,MuitoBomPleno,V7,186
Alabasta,MuitoBomPleno,V8,1498
Alabasta,EscuroSereno,V2,18
Alabasta,AlternativoBeta,V1,4816
Alabasta,ExcelenteSupremo,V2,6298
Alabasta,ExcelenteSupremo,V8,26
Alabasta,ResistenteFirme,V2,712
Alabasta,LimpoSombrio,V1,"7435,5"
Alabasta,LimpoTenaz,V1,14
Alabasta,ArtificialZero,V1,0
Alabasta,ArtificialZero,V2,28
Alabasta,ArtificialTres,V2,744
Brakmar,MuitoBomPleno,V13,1756
Brakmar,NeutroSuave,V13,0
Brakmar,DiscretoCalmo,V12,1520
Gerudo,InferiorRaso,V3,0
Gerudo,MuitoBomPleno,V3,0
Gerudo,MuitoBomPleno,V8,0
Gerudo,MuitoBomPleno,V16,2160
Gerudo,MuitoBomPleno,V12,0
Gerudo,MuitoBomPleno,V13,12
Gerudo,ExcelenteSupremo,V3,9263
Rlyeh,NaturalClaro,V1,0
Rlyeh,MuitoBomPleno,V3,5400
Rlyeh,MuitoBomPleno,V16,200
Rlyeh,MuitoBomPleno,V12,6080
Rlyeh,ArtificialCinco,V16,0
Aracruz,OpacoManso,V1,1064
Aracruz,InferiorRaso,V1,4904
Aracruz,NaturalClaro,V1,1034
Aracruz,PraticoLeve,V1,42
Aracruz,MuitoBomPleno,V1,1500
Aracruz,EscuroSereno,V1,2238
Aracruz,AtivoVigoroso,V1,60
Aracruz,AlternativoBeta,V1,2162
Aracruz,AlternativoAlpha,V1,18
